,text,Tipo
0,"- se ha rebasado la capacidad hospitalaria
-hay un mercado negro de oxígeno
-no hay un plan de vacunación 
-no hay garantía de abastecimiento de vacunas.  

El gobierno se encuentra colapsado y la crisis se profundiza. 

¡Es el momento de la renuncia de Alcocer y @HLGatell",Negativo
2,"-Ezdeque nadie lucra electoralmente con la vacunación. Es una campaña de odio de nuestros adversarios. Una conspiración fraguada desde el imperio yanqui, contra el Mandela de Macuspana. 
-Ajá. 
 https://t.co/CWMA5cRkaO",Negativo
7,"¡Buenas noticias! 

Esta madrugada llegaron a nuestro país dos contenedores refrigerados con 2 millones de dosis de la vacuna contra #Covid19 de CanSinoBio, que serán envasadas en Querétaro. 

Esto permitirá vacunar a amplios sectores de la población. #MultilateralesResuelve. https://t.co/uvb0JGS7ib",Positivo
10,"¡Buenos días!

Les informo que arribaron al @AICM_mx 1 millón de dosis de la vacuna contra #Covid19 de SINOVAC. 

En representación del Canciller @m_ebrard y junto con @Santaella_dr Director de @Birmex, recibimos este cargamento https://t.co/AneWUwWUOI",Positivo
11,¡Es una vergüenza! No hay pretextos. Todo el personal de salud merece la vacuna. https://t.co/hoOLS0O1tZ,Negativo
13,"¡Graaacias sr @lopezobrador_ !

Sólo se tardaron OCHO MESES en comprar las vacunas.

Es un gobierno inepto y letal, compraron tarde, muy tarde las vacunas. Han muerto más de 170 mil personas...
En América Latina hay países ejemplo como Chile.

Aquí el gobierno es una vergüenza👇🏼 https://t.co/83zO7M7H04",Negativo
14,"¡Iniciamos el sábado con buenas noticias! 

Llegaron al Aeropuerto Internacional de la Ciudad de México (@AICM_mx) 800 mil vacunas contra #Covid19 de Sinovac. https://t.co/gQJbEXLNCO",Positivo
20,"¡Mandame unas por favor! ¿Cuantas tienes en existencia?
Ah, ya me acorde que le vas a Cruz azul, seguro que tienes un chingo de vacunas del laboratorio de ""letras libres"" 
Gran epidemiologo  🤣🤣🤣🤣 https://t.co/KQl6h3uYAs",Negativo
22,"¡NOS FALTAN 200 MIL!

Y menos del uno por ciento tiene una vacuna completa. Después de tres meses de iniciada la vacunación, las cifras son las siguientes en México 

Vacunados con 1 dosis: 4.2% 

Vacunados con 2 dosis: 0.6%.

Aquí mi opinión👇🏼
https://t.co/iL4IU3rAl3",Negativo
23,¡Orgullo queretano! La @UAQmx es un ejemplo de innovación en salud al buscar desarrollar la vacuna mexicana contra el Covid-19. https://t.co/Egw4kgXATE,Positivo
